Time,header.seq,header.stamp.secs,header.stamp.nsecs,header.frame_id,latitude.data,longitude.data,altitude.data,utm_easting.data,utm_northing.data,zone_num.data,zone_letter.data,quality.data
1646352427.2138453,347,0,0,,42.33726,-71.089665,16.3,327852.1429191455,4689337.677509588,19.0,T,0
1646352428.2067595,348,0,0,,42.33726,-71.089665,16.3,327852.1429191455,4689337.677509588,19.0,T,0
1646352429.2128482,349,0,0,,42.33726,-71.089665,16.3,327852.1429191455,4689337.677509588,19.0,T,0
1646352430.2088802,350,0,0,,42.33726,-71.089665,16.3,327852.1429191455,4689337.677509588,19.0,T,0
1646352431.214675,351,0,0,,42.33726,-71.089665,16.3,327852.1429191455,4689337.677509588,19.0,T,0
1646352432.2074947,352,0,0,,42.33726,-71.089665,16.3,327852.1429191455,4689337.677509588,19.0,T,0
1646352433.217256,353,0,0,,42.33726,-71.089665,16.3,327852.1429191455,4689337.677509588,19.0,T,0
1646352434.2158794,354,0,0,,42.33726,-71.089665,16.3,327852.1429191455,4689337.677509588,19.0,T,0
1646352435.2147105,355,0,0,,42.33726,-71.089665,16.3,327852.1429191455,4689337.677509588,19.0,T,0
1646352436.2161114,356,0,0,,42.33726,-71.089665,16.3,327852.1429191455,4689337.677509588,19.0,T,0
1646352437.2095182,357,0,0,,42.33726,-71.089665,16.3,327852.1429191455,4689337.677509588,19.0,T,0
1646352438.2139623,358,0,0,,42.33726,-71.089665,16.3,327852.1429191455,4689337.677509588,19.0,T,0
1646352439.216178,359,0,0,,42.33726,-71.089665,16.3,327852.1429191455,4689337.677509588,19.0,T,0
1646352440.2176542,360,0,0,,42.33726,-71.089665,16.3,327852.1429191455,4689337.677509588,19.0,T,0
1646352441.2093034,361,0,0,,42.33726,-71.089665,16.3,327852.1429191455,4689337.677509588,19.0,T,0
1646352442.2147505,362,0,0,,42.33726,-71.089665,16.3,327852.1429191455,4689337.677509588,19.0,T,0
1646352443.2160914,363,0,0,,42.33726,-71.089665,16.3,327852.1429191455,4689337.677509588,19.0,T,0
1646352444.2098641,364,0,0,,42.33726,-71.089665,16.3,327852.1429191455,4689337.677509588,19.0,T,0
1646352445.2102418,365,0,0,,42.33726,-71.089665,16.3,327852.1429191455,4689337.677509588,19.0,T,0
1646352446.2146723,366,0,0,,42.33726,-71.089665,16.3,327852.1429191455,4689337.677509588,19.0,T,0
1646352447.2132287,367,0,0,,42.33726,-71.089665,16.3,327852.1429191455,4689337.677509588,19.0,T,0
1646352448.2151692,368,0,0,,42.33726,-71.089665,16.3,327852.1429191455,4689337.677509588,19.0,T,0
1646352449.2223723,369,0,0,,42.33726,-71.089665,16.3,327852.1429191455,4689337.677509588,19.0,T,0
1646352450.218728,370,0,0,,42.33726,-71.089665,16.3,327852.1429191455,4689337.677509588,19.0,T,0
1646352451.2112205,371,0,0,,42.33726,-71.089665,16.3,327852.1429191455,4689337.677509588,19.0,T,0
1646352452.2168884,372,0,0,,42.33726,-71.089665,16.3,327852.1429191455,4689337.677509588,19.0,T,0
1646352453.2174032,373,0,0,,42.33726,-71.089665,16.3,327852.1429191455,4689337.677509588,19.0,T,0
1646352454.2130206,374,0,0,,42.33726,-71.089665,16.3,327852.1429191455,4689337.677509588,19.0,T,0
1646352455.2135353,375,0,0,,42.33726,-71.089665,16.3,327852.1429191455,4689337.677509588,19.0,T,0
1646352456.211603,376,0,0,,42.33726,-71.089665,16.3,327852.1429191455,4689337.677509588,19.0,T,0
1646352457.2121036,377,0,0,,42.33726,-71.089665,16.3,327852.1429191455,4689337.677509588,19.0,T,0
